,,Slash,
Criteria ,,Score ,Comments
,Workload Split,3,https://github.com/bhavya180301/slash/graphs/contributors
,Number of commits,3,565 commits
,Issues closed,3,4/6
,DOI badge: exists,3,"https://github.com/bhavya180301/slash/blob/main/README.md

and
 https://github.com/bhavya180301/slash/blob/main/project3/API%20Routes.pdf"
Documentation ,Is the format of the document ugly?,3,Well defined README
,Does the document talk about each functionality?,3,https://github.com/bhavya180301/slash/blob/main/README.md 
,"For common use cases, does the document have mini-tutorials?",3,Video and screenshots added for each functionality 
,"Does the document tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing?",3,Described well in README
,"Does it contain a short, animated video hosted on the repo that convinces people why they want to work on your code?",3,video present which indicates changes from previous phase and new features
,Use of version control tools,3,Git used as Version Control tool
,Use of style checkers,3,https://github.com/bhavya180301/slash/actions/workflows/style_checker.yml
,Use of code formatters.,3,https://github.com/bhavya180301/slash/actions/workflows/pylint.yml
,Use of syntax checkers.,3,https://github.com/bhavya180301/slash/actions/workflows/pylint.yml
,Use of code coverage,3,https://github.com/bhavya180301/slash/actions/workflows/code_cov.yml
,Other automated analysis tools,3,https://github.com/bhavya180301/slash/actions
,Test Case exist,3,https://github.com/bhavya180301/slash/tree/main/tests
,Test cases routinely executed,3,https://github.com/bhavya180301/slash/blob/main/.github/workflows/python-app.yml
,The files contributing.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,https://github.com/bhavya180301/slash/blob/main/CONTRIBUTING.md
,Issues are discussed before they are closed,2,https://github.com/bhavya180301/slash/issues
,Chat channel: exists,3,https://github.com/bhavya180301/slash#support
,Test cases: a large proportion of the issues related to handling failing cases.,2,https://github.com/bhavya180301/slash/tree/main/tests
,Short release cycles,3,https://github.com/bhavya180301/slash/releases/tag/v1.0.0
Q1 - What your software does,"Does your website and documentation provide a clear, high-level overview of your software?",yes,https://github.com/bhavya180301/slash/blob/main/README.md
,Does your website and documentation clearly describe the type of user who should use your software?,yes,https://github.com/bhavya180301/slash/blob/main/README.md#use-case
,Do you publish case studies to show how your software has been used by yourself and others?,no,
Q2 - Your project's and software's identity,"Is the name of your project/software unique?
",no,
,"Is your project/software name free from trademark violations?
",yes,
Q3 - Availability of your software,Is your software available as a package that can be deployed without building it?,no,
,"Is your software available for free?
",yes,Public repository on Github
,"Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",yes,Public repository on Github
,"Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?",yes,Public repository on Github
Q4 - Your software's documentation,Is your documentation clearly available on your website or within your software?,yes,https://github.com/bhavya180301/slash/blob/main/README.md
,"Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",yes,https://github.com/bhavya180301/slash/blob/main/README.md
,"If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",yes,https://github.com/bhavya180301/slash/blob/main/README.md
,"Do you provide a comprehensive guide to all your software’s commands, functions and options?",yes,"https://github.com/bhavya180301/slash/blob/main/README.md

and
 https://github.com/bhavya180301/slash/blob/main/project3/API%20Routes.pdf"
,Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,no,
,"If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",no,
,Do you store your documentation under revision control with your source code?,yes,Documentation in Git
,"Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",yes,https://github.com/bhavya180301/slash/releases/tag/v1.0.0
Q5 - How do you support your software?,Does your software describe how a user can get help with using your software?,yes,https://github.com/bhavya180301/slash#what-it-does
,"Does your website and documentation describe what support, if any, you provide to users and developers?",yes,https://github.com/bhavya180301/slash#what-it-does
,Does your project have an e-mail address or forum that is solely for supporting users?,yes,https://github.com/bhavya180301/slash#support
,Are e-mails to your support e-mail address received by more than one person?,yes,https://github.com/bhavya180301/slash#support
,Does your project have a ticketing system to manage bug reports and feature requests?,yes,https://github.com/bhavya180301/slash/issues
,"Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",yes,https://github.com/bhavya180301/slash/issues
Q6 - Your software's maintai0bility,Is your software’s architecture and design modular?,yes,Well defined code and file structure in GH
,Does your software use an accepted coding standard or convention?,yes,
Q7 - Open standards and your software,"Does your software allow data to be imported and exported using open data formats? e.g. GIF, SVG, HTML, XML, tar, zip, CSV, JSON, NetCDF, or domain specific ones",yes,results can be converted to csv and pdf documents within the app
,"Does your software allow communications using open communications protocols? e.g. HTTP, FTP, XMPP, SOAP over HTTP,  or domain-specific ones",yes,our software relies on webscarpping
Q8 - Your software's portability,"Is your software cross-platform compatible? e.g. does it run under two or more of Windows, Unix/Linux and Mac OS X, or can be used from within two or more of Internet Explorer, Chrome, Firefox and Safari?",yes,The project uses Python language and Flask framework which can be installed on any platform and can be run on any system.
Q9 - Your software and accessibility,Does your software adhere to appropriate accessibility conventions or standards?,yes,public repository on github
,Does your documentation adhere to appropriate accessibility conventions or standards?,yes,public repository on github
Q10 - How do you ma0ge your source code?,Is your source code stored in a repository under revision control?,yes,public repository on github
,Does each source code release a snapshot of the repository?,yes,https://github.com/bhavya180301/slash/releases
,Are releases tagged in the repository?,yes,https://github.com/bhavya180301/slash/releases
,"Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)",yes,main is the stable branch
,Do you back-up your repository?,yes,we forked the repository and shared among all contributors
Q11 - Building and installing your software,Do you provide publicly-available instructions for building your software from the source code?,yes,https://github.com/bhavya180301/slash#readme
,"Can you build, or package, your software using an automated tool?",no,
,Do you provide publicly-available instructions for deploying your software?,yes,https://github.com/bhavya180301/slash#readme
,Does your documentation list all third-party dependencies?,yes,https://github.com/bhavya180301/slash/blob/main/requirements.txt
, Does your documentation list the version number for all third-party dependencies?,yes,https://github.com/bhavya180301/slash/blob/main/requirements.txt
,"Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",no,
,Can you download dependencies using a dependency management tool or package manager?,yes,pip can be used
,Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,yes,https://github.com/bhavya180301/slash/tree/main/tests
Q12 - How you test your software,"Do you have an automated test suite for your software?
",yes,https://github.com/bhavya180301/slash/actions
,Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,yes,https://github.com/bhavya180301/slash/tree/main/tests
,"Do you use continuous integration, automatically running tests whenever changes are made to your source code?",yes,workflows are executed every time new code is added
,Are your test results publicly visible?,yes,badges in README
,Does your website state how many projects and users are associated with your project?,yes,https://github.com/bhavya180301/slash#contributors
,Do you provide success stories on your website?,no,
,Do you list your important partners and collaborators on your website?,yes,https://github.com/bhavya180301/slash#contributors
,Do you list your project's publications on your website or link to a resource where these are available?,no,
,Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,no,
,Can users subscribe to notifications to changes to your source code repository?,yes,user notified when changes are made 
,"If your software is developed as an open source project (and just a project developing open source software), do you have a governance model?",yes,https://github.com/bhavya180301/slash/blob/main/CONTRIBUTING.md
Q14 - How you ma0ge contributions,"Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",yes,open to contributions
, Do you have a contributions policy?,yes,https://github.com/bhavya180301/slash/blob/main/CONTRIBUTING.md
,Is your contributions' policy publicly available,yes,https://github.com/bhavya180301/slash/blob/main/CONTRIBUTING.md
,Do contributors keep the copyright/IP of their contributions,yes,copyright info mentioned in source code files
Q15 - Your software's copyright and licensing,Does your website and documentation clearly state the copyright owners of your software and documentation?,yes,
,Does each of your source code files include a copyright statement?,no,not present in all files
,Does your website and documentation clearly state the licence of your software?,yes,https://github.com/bhavya180301/slash/blob/main/LICENSE
,Is your software released under an open source licence?,yes,https://github.com/elric97/feature-hunt/blob/7f8e77835408cb6592f654bbf59caa952beaeb63/LICENSE
,Is your software released under an OSI-approved open-source licence?,yes,"MIT License
https://github.com/bhavya180301/slash/blob/main/LICENSE"
,Does each of your source code files include a licence header?,no,copyright info only in source files https://github.com/bhavya180301/slash/blob/main/LICENSE
,Do you have a recommended citation for your software?,yes,DOI badge
Q16 - Your plans for the future,"Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",yes,https://github.com/bhavya180301/slash#future-scope
,"Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",no,
,"Do you make timely announcements of the deprecation of components, APIs, etc.?",no,